COMID,CatAreaSqKm,CatPctFull,WsAreaSqKm,WsPctFull,RdCrsCat,RdCrsWs
1967027,0.1683,100,38.0817,100,11.883541295306001,0.341371314831008
1967029,0.0459,100,37.9134,100,0.0,0.290134886346252
1967129,12.4848,100,50.5665,100,0.40048699218249395,0.355966895078758
1967137,32.5665,100,32.5665,100,0.27635760674312604,0.27635760674312604
1967139,13.4253,100,13.4253,100,0.670376080981431,0.670376080981431
1967143,0.3978,100,50.9643,100,0.0,0.353188408356438
1967171,2.3562,100,49.9662,100,0.0,0.38025705376834706
1967315,15.7788,100,122.1489,100,0.126752351256116,0.33565590848546306
1967341,4.6935,100,4.6935,100,0.426121231490359,0.426121231490359
1967343,8.496,100,8.496,100,0.235404896421846,0.235404896421846
1967359,0.3114,100,13.5009,100,0.0,0.296276544526661
1967369,3.8133,100,3.8133,100,0.262240054545931,0.262240054545931
1967383,2.5974,100,124.7463,100,0.77000077000077,0.344699602312854
1967385,17.8362,100,139.9851,100,0.168197261748579,0.314319166825612
1967403,51.102,100,193.6845,100,0.332667997338656,0.32527125299133397
1967419,0.2961,100,193.9806,100,0.0,0.324774745515789
1967421,1.035,100,18.3492,100,0.966183574879227,0.326989732522399
1967427,1.8234,100,1.8234,100,0.548426017330262,0.548426017330262
1967455,6.6681,100,6.6681,100,0.299935513864519,0.299935513864519
1967461,2.106,100,195.7905,100,0.0,0.321772506837666
1967463,2.0295,100,196.0101,100,0.0,0.32141200887097104
1967469,0.0504,100,199.8954,100,0.0,0.315164831206721
1967471,0.0261,100,199.9215,100,0.0,0.315123686046773
1967479,1.7289,100,197.739,100,0.0,0.31860179327295096
1967487,29.4813,100,29.4813,100,0.5087971018917079,0.5087971018917079
1967513,34.6239,100,54.7965,100,0.25993605573029,0.291989451881051
1967515,4.9788,100,11.6469,100,0.803406443319675,0.515158540040697
1967517,8.3385,100,8.3385,100,0.35977693829825497,0.35977693829825497
1967519,4.4496,100,33.9309,100,0.449478604818411,0.501018245905649
1967535,1.9953,100,201.9168,100,0.0,0.312009699044359
1967537,3.2337,100,203.1552,100,0.30924328168970505,0.315030085373153
1967591,4.4469,100,207.6021,100,0.44975151228946,0.317915859232638
1967597,0.0504,100,210.0933,100,0.0,0.31414614364189597
1967603,0.3159,100,210.4092,100,0.0,0.313674497122749
1967611,257.1372,100,257.1372,100,0.25667231345756303,0.25667231345756303
1967621,2.8899,100,45.1593,100,0.346032734696702,0.465020494117491
1967627,0.1278,100,210.2211,100,0.0,0.313955164348393
1967629,0.2619,100,227.8305,100,0.0,0.31602441288589506
