COMID,CatAreaSqKm,CatPctFull,WsAreaSqKm,WsPctFull,RunoffCat,RunoffWs
1967027,0.1683,100.0,38.0817,100.0,353.0,353.482617635242
1967029,0.0459,100.0,37.9134,100.0,353.0,353.484760005697
1967129,12.4848,100.0,50.5665,100.0,353.001730103806,353.36388715849404
1967137,32.5665,100.0,32.5665,100.0,353.0,353.0
1967139,13.4253,100.0,13.4253,100.0,353.0,353.0
1967143,0.3978,100.0,50.9643,100.0,353.0,353.361046850442
1967171,2.3562,100.0,49.9662,100.0,353.0,353.0
1967315,15.7788,100.0,122.1489,100.0,353.0,353.150639915709
1967341,4.6935,100.0,4.6935,100.0,353.01150527324995,353.01150527324995
1967343,8.496,100.0,8.496,100.0,353.0,353.0
1967359,0.3114,100.0,13.5009,100.0,353.0,353.003999733351
1967369,3.8133,100.0,3.8133,100.0,353.0,353.0
1967383,2.5974,100.0,124.7463,100.0,353.0,353.147503372846
1967385,17.8362,100.0,139.9851,100.0,353.0,353.131446132481
1967403,51.102,100.0,193.6845,100.0,353.041000352237,353.105820032062
1967419,0.2961,100.0,193.9806,100.0,353.0,353.10565850399496
1967421,1.035,100.0,18.3492,100.0,353.0,353.002942907593
1967427,1.8234,100.0,1.8234,100.0,353.0,353.0
1967455,6.6681,100.0,6.6681,100.0,353.0,353.0
1967461,2.106,100.0,195.7905,100.0,353.0,353.10468178997496
1967463,2.0295,100.0,196.0101,100.0,353.0,353.104564509686
1967469,0.0504,100.0,199.8954,100.0,353.0,353.102532124301
1967471,0.0261,100.0,199.9215,100.0,353.0,353.10251873860494
1967479,1.7289,100.0,197.739,100.0,353.0,353.10365026626
1967487,29.4813,100.0,29.4813,100.0,353.0,353.0
1967513,34.6239,100.0,54.7965,100.0,353.00670635023806,353.00522296132004
1967515,4.9788,100.0,11.6469,100.0,353.0,353.0
1967517,8.3385,100.0,8.3385,100.0,353.0,353.0
1967519,4.4496,100.0,33.9309,100.0,353.0,353.0
1967535,1.9953,100.0,201.9168,100.0,353.0,353.101505669662
1967537,3.2337,100.0,203.1552,100.0,353.0,353.100886908137
1967591,4.4469,100.0,207.6021,100.0,353.0,353.098725879941
1967597,0.0504,100.0,210.0933,100.0,353.0,353.09755522903396
1967603,0.3159,100.0,210.4092,100.0,353.0,353.097408763495
1967611,257.1372,100.0,257.1372,100.0,353.72754000588,353.72754000588
1967621,2.8899,100.0,45.1593,100.0,353.0,353.0
1967627,0.1278,100.0,210.2211,100.0,353.0,353.09749592215104
1967629,0.2619,100.0,227.8305,100.0,353.0,353.08996029943296
1967649,64.5588,100.0,292.7052,100.0,353.52445212736296,353.18569434366
1967651,7.6005,100.0,7.6005,100.0,346.510953226761,346.510953226761
1967653,0.4725,100.0,17.3475,100.0,353.0,353.0
